LineId,Time,Program,Content,EventId,EventTemplate
51,[07.26,17:30:02] chrome.exe *64 - csdnimg.cn:80 error ,A,E0,A
52,[07.26,17:30:02] chrome.exe *64 - hm.baidu.com:443 error ,A,E0,A
53,[07.26,17:30:32] chrome.exe *64 - csdnimg.cn:80 error ,A,E0,A
54,[07.26,18:05:25] WeChat.exe - 203.205.151.204:80 error ,Could,E1,Could
55,[07.26,18:55:22] SogouCloud.exe - get.sogou.com:80 error ,Could,E1,Could
56,[07.26,18:55:22] WeChat.exe - 120.204.0.139:8080 error ,Could,E1,Could
57,[07.26,18:55:22] WeChat.exe - 101.226.211.46:8080 error ,Could,E1,Could
58,[07.26,19:01:46] tencentdl.exe - local-p2p.qq.com:443 error ,Could,E1,Could
59,[07.26,19:01:46] tencentdl.exe - local-p2p.qq.com:443 error ,Could,E1,Could
60,[07.26,21:29:27] chrome.exe *64 - mtalk.google.com:5228 error ,Could,E1,Could
61,[07.26,22:05:04] QQProtectUpd.exe - qd-update.qq.com:8080 error ,Could,E1,Could
62,[07.26,22:06:02] SGTool.exe - config.pinyin.sogou.com:80 error ,Could,E1,Could
63,[07.27,03:00:17] Dropbox.exe - client.dropbox.com:443 error ,Could,E1,Could
64,[07.27,03:00:18] Dropbox.exe - client-cf.dropbox.com:443 error ,A,E0,A
65,[07.27,04:17:03] chrome.exe *64 - mtalk.google.com:5228 error ,Could,E1,Could
66,[07.27,04:38:15] chrome.exe *64 - mtalk.google.com:5228 error ,Could,E1,Could
67,[07.27,05:05:50] chrome.exe *64 - qa.sockets.stackexchange.com:443 error ,Could,E1,Could
68,[07.27,05:05:51] chrome.exe *64 - 13.client-channel.google.com:443 error ,Could,E1,Could
69,[07.27,05:05:52] chrome.exe *64 - 13.client-channel.google.com:443 error ,Could,E1,Could
70,[07.27,05:05:52] chrome.exe *64 - 13.client-channel.google.com:443 error ,Could,E1,Could
71,[07.27,05:05:53] chrome.exe *64 - www.google.com:443 error ,Could,E1,Could
72,[07.27,05:05:53] Dropbox.exe - client-cf.dropbox.com:443 error ,Could,E1,Could
73,[07.27,05:05:54] chrome.exe *64 - qa.sockets.stackexchange.com:443 error ,Could,E1,Could
74,[07.27,05:05:54] chrome.exe *64 - 16.client-channel.google.com:443 error ,Could,E1,Could
75,[07.27,05:05:56] Dropbox.exe - bolt.dropbox.com:443 error ,Could,E1,Could
76,[07.27,05:06:01] Dropbox.exe - bolt.dropbox.com:443 error ,Could,E1,Could
77,[07.27,05:06:08] chrome.exe *64 - www.google.com:443 error ,Could,E1,Could
78,[07.27,05:06:09] Dropbox.exe - bolt.dropbox.com:443 error ,Could,E1,Could
79,[07.27,05:06:13] chrome.exe *64 - 16.client-channel.google.com:443 error ,Could,E1,Could
80,[07.27,05:06:15] chrome.exe *64 - www.google.com:443 error ,Could,E1,Could
81,[07.27,05:06:22] chrome.exe *64 - mtalk.google.com:5228 error ,Could,E1,Could
82,[07.27,05:06:32] chrome.exe *64 - www.google.com:443 error ,Could,E1,Could
83,[07.27,05:06:40] Dropbox.exe - client-lb.dropbox.com:443 error ,Could,E1,Could
84,[07.27,05:07:02] Dropbox.exe - bolt.dropbox.com:443 error ,Could,E1,Could
85,[07.27,05:07:06] chrome.exe *64 - 16.client-channel.google.com:443 error ,Could,E1,Could
86,[07.27,05:08:27] Dropbox.exe - bolt.dropbox.com:443 error ,Could,E1,Could
87,[07.27,05:08:29] Dropbox.exe - bolt.dropbox.com:443 error ,Could,E1,Could
88,[07.27,05:09:52] Dropbox.exe - bolt.dropbox.com:443 error ,Could,E1,Could
89,[07.27,05:10:59] Dropbox.exe - bolt.dropbox.com:443 error ,Could,E1,Could
90,[07.27,05:11:29] Dropbox.exe - bolt.dropbox.com:443 error ,Could,E1,Could
91,[07.27,05:11:34] chrome.exe *64 - 16.client-channel.google.com:443 error ,Could,E1,Could
92,[07.27,05:12:56] Dropbox.exe - bolt.dropbox.com:443 error ,Could,E1,Could
93,[07.27,06:19:08] chrome.exe *64 - mtalk.google.com:5228 error ,Could,E1,Could
94,[07.27,06:34:38] chrome.exe *64 - mtalk.google.com:5228 error ,Could,E1,Could
95,[07.27,09:49:48] SohuNews.exe - i2.itc.cn:80 error ,Could,E1,Could
96,[07.27,10:05:05] QQProtectUpd.exe - qd-update.qq.com:8080 error ,Could,E1,Could
97,[07.27,10:05:06] QQProtectUpd.exe - qd-update.qq.com:8080 error ,Could,E1,Could
